contrast,feature_family,signal_group,source_signal,n_features,mean_abs_contrast,sum_abs_contrast,top_feature,top_abs_contrast,top_signed_contrast
REM_vs_Non-REM,rolling_context,movement,ACC_MAG,6,0.3128073186329823,1.8768439117978937,ACC_MAG_std_roll15_mean,0.948750652668532,-0.948750652668532
REM_vs_Non-REM,rolling_context,cardiovascular,IBI,9,0.1504935162608821,1.3544416463479394,IBI_mean_roll5_std,0.314801406846833,0.314801406846833
REM_vs_Non-REM,rolling_context,cardiovascular,HR,5,0.1931714418659958,0.9658572093299792,HR_mean_roll5_std,0.5274167395897444,0.5274167395897444
REM_vs_Non-REM,rolling_context,cardiovascular,BVP,5,0.012974458389484,0.0648722919474202,BVP_mean_roll15_std,0.0488012396700135,-0.0488012396700135
REM_vs_Wake,rolling_context,movement,ACC_MAG,6,0.5042618186779849,3.0255709120679093,ACC_MAG_std_roll15_mean,1.7155066318883463,-1.7155066318883463
REM_vs_Wake,rolling_context,cardiovascular,IBI,9,0.0917152011738042,0.8254368105642386,IBI_rmssd_roll15_std,0.2693138266949284,-0.2693138266949284
REM_vs_Wake,rolling_context,cardiovascular,HR,5,0.1324431803929821,0.6622159019649106,HR_mean_roll5_std,0.2339148879764881,0.2339148879764881
REM_vs_Wake,rolling_context,cardiovascular,BVP,5,0.0503265605933029,0.2516328029665147,BVP_mean_roll15_std,0.1542584578460661,-0.1542584578460661
Wake_vs_Non-REM,rolling_context,movement,ACC_MAG,6,0.2204407003587531,1.322644202152519,ACC_MAG_std_roll15_mean,0.7667559792198143,0.7667559792198143
Wake_vs_Non-REM,rolling_context,cardiovascular,IBI,9,0.0859632576148487,0.7736693185336391,IBI_pnn50_roll15_mean,0.2993816816271947,-0.2993816816271947
Wake_vs_Non-REM,rolling_context,cardiovascular,HR,5,0.150783218847952,0.7539160942397604,HR_mean_roll5_std,0.2935018516132562,0.2935018516132562
Wake_vs_Non-REM,rolling_context,cardiovascular,BVP,5,0.0373521022038189,0.1867605110190946,BVP_mean_roll15_std,0.1054572181760526,0.1054572181760526
