rem_error_group,transition_distance_bin,n_epochs,epoch_fraction
not_REM_related,0,1155,0.094139701687179
not_REM_related,1,636,0.0518379656043687
not_REM_related,2-3,782,0.0637378759475099
not_REM_related,4-10,1581,0.1288613578938788
not_REM_related,>10,3352,0.2732089004808868
not_REM_related,no_transition_in_participant,0,0.0
true_Non_REM_pred_REM,0,192,0.015649197163583
true_Non_REM_pred_REM,1,145,0.0118184041079142
true_Non_REM_pred_REM,2-3,250,0.0203765588067487
true_Non_REM_pred_REM,4-10,714,0.0581954519520743
true_Non_REM_pred_REM,>10,1737,0.1415763305892901
true_Non_REM_pred_REM,no_transition_in_participant,0,0.0
true_REM_pred_Non_REM,0,66,0.0053794115249816
true_REM_pred_Non_REM,1,42,0.0034232618795337
true_REM_pred_Non_REM,2-3,64,0.0052163990545276
true_REM_pred_Non_REM,4-10,138,0.0112478604613252
true_REM_pred_Non_REM,>10,95,0.0077430923465645
true_REM_pred_Non_REM,no_transition_in_participant,0,0.0
true_REM_pred_REM,0,95,0.0077430923465645
true_REM_pred_REM,1,93,0.0075800798761105
true_REM_pred_REM,2-3,142,0.0115738854022332
true_REM_pred_REM,4-10,211,0.0171978156328959
true_REM_pred_REM,>10,167,0.0136115412829081
true_REM_pred_REM,no_transition_in_participant,0,0.0
true_REM_pred_Wake,0,62,0.0050533865840736
true_REM_pred_Wake,1,34,0.0027712119977178
true_REM_pred_Wake,2-3,44,0.0035862743499877
true_REM_pred_Wake,4-10,33,0.0026897057624908
true_REM_pred_Wake,>10,32,0.0026081995272638
true_REM_pred_Wake,no_transition_in_participant,0,0.0
true_Wake_pred_REM,0,114,0.0092917108158774
true_Wake_pred_REM,1,30,0.0024451870568098
true_Wake_pred_REM,2-3,28,0.0022821745863558
true_Wake_pred_REM,4-10,63,0.0051348928193006
true_Wake_pred_REM,>10,172,0.0140190724590431
true_Wake_pred_REM,no_transition_in_participant,0,0.0
